measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,1,Global,2,Female,22,All ages,411,Esophageal cancer,1,Number,1982,99407.14390620182,118387.30216673535,68784.7798902865
1,Deaths,1,Global,3,Both,22,All ages,411,Esophageal cancer,1,Number,1982,307744.58152850607,344061.61214851646,267512.3624970513
1,Deaths,1,Global,1,Male,22,All ages,414,Stomach cancer,1,Number,1982,510205.0625051036,577685.8001838671,435678.97336506756
1,Deaths,1,Global,2,Female,22,All ages,414,Stomach cancer,1,Number,1982,319503.84994947794,355122.1064328683,286310.1132866325
1,Deaths,1,Global,3,Both,22,All ages,414,Stomach cancer,1,Number,1982,829708.9124545822,904517.437008019,752399.3108289153
1,Deaths,1,Global,1,Male,22,All ages,417,Liver cancer,1,Number,1982,141015.58510072582,163070.198451006,114342.19819618888
1,Deaths,1,Global,2,Female,22,All ages,417,Liver cancer,1,Number,1982,65886.25990869645,79727.25502511176,56606.36244379992
1,Deaths,1,Global,3,Both,22,All ages,417,Liver cancer,1,Number,1982,206901.84500942237,238007.68794829628,175931.1819760898
1,Deaths,1,Global,1,Male,22,All ages,423,Larynx cancer,1,Number,1982,63708.581681679476,69026.68347523738,59659.12549392187
1,Deaths,1,Global,2,Female,22,All ages,423,Larynx cancer,1,Number,1982,9122.841843147522,10542.146788433116,6813.062291664436
1,Deaths,1,Global,3,Both,22,All ages,423,Larynx cancer,1,Number,1982,72831.42352482698,78758.40008483923,67491.76486479952
1,Deaths,1,Global,1,Male,22,All ages,426,"Tracheal, bronchus, and lung cancer",1,Number,1982,656127.5827555271,725497.2844808405,607333.4655104115
1,Deaths,1,Global,2,Female,22,All ages,426,"Tracheal, bronchus, and lung cancer",1,Number,1982,208391.56017581772,231070.55477989992,190532.00936269376
1,Deaths,1,Global,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",1,Number,1982,864519.1429313462,930755.3605467716,809714.5617037589
1,Deaths,1,Global,1,Male,22,All ages,411,Esophageal cancer,1,Number,1983,211916.4565920459,247284.63847632223,182314.18376017833
1,Deaths,1,Global,2,Female,22,All ages,411,Esophageal cancer,1,Number,1983,100384.46915712189,118945.05483119696,70697.71950594804
1,Deaths,1,Global,3,Both,22,All ages,411,Esophageal cancer,1,Number,1983,312300.92574916815,353760.8579068535,273538.77089475526
1,Deaths,1,Global,1,Male,22,All ages,414,Stomach cancer,1,Number,1983,515871.19178451307,588999.0055598797,438153.2273452228
1,Deaths,1,Global,2,Female,22,All ages,414,Stomach cancer,1,Number,1983,320425.95269157673,356735.13177125924,290836.1205316269
1,Deaths,1,Global,3,Both,22,All ages,414,Stomach cancer,1,Number,1983,836297.1444760894,916702.7031875503,756065.2052330207
1,Deaths,1,Global,1,Male,22,All ages,417,Liver cancer,1,Number,1983,142663.02212734616,164134.63394242278,118561.39259916141
1,Deaths,1,Global,2,Female,22,All ages,417,Liver cancer,1,Number,1983,66689.4624938486,81110.78104813966,57490.284132852306
1,Deaths,1,Global,3,Both,22,All ages,417,Liver cancer,1,Number,1983,209352.48462119474,240394.0726090227,181283.56144275496
1,Deaths,1,Global,1,Male,22,All ages,423,Larynx cancer,1,Number,1983,65208.703822352094,70665.30092443417,60984.51269943437
1,Deaths,1,Global,2,Female,22,All ages,423,Larynx cancer,1,Number,1983,9258.042414950865,10511.69675195664,7018.5058693595
1,Deaths,1,Global,3,Both,22,All ages,423,Larynx cancer,1,Number,1983,74466.74623730294,80403.27046658697,69574.15530854122
1,Deaths,1,Global,1,Male,22,All ages,426,"Tracheal, bronchus, and lung cancer",1,Number,1983,673443.3835209302,738297.8209804954,626210.8885155624
1,Deaths,1,Global,2,Female,22,All ages,426,"Tracheal, bronchus, and lung cancer",1,Number,1983,215763.2144502814,236805.04890470987,197344.87804035895
1,Deaths,1,Global,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",1,Number,1983,889206.5979712117,953198.1869514297,835123.4443041864
1,Deaths,1,Global,1,Male,22,All ages,429,Breast cancer,1,Number,1982,4040.847852852557,4895.0922710086,3354.999434930223
